program_id,parent_program_id,short_title,title,long_title,variants,school_id,diploma,field,city
P1606,,DN MADE Finance,DN MADE Finance,,,S30,DN MADE,Finance,Rennes
P1804,P1803,DN MADE Droit - Alternance / Campus,DN MADE DROIT — ALTERNANCE / CAMPUS,,"{""apprenticeship"": 1, ""school_id"": ""S24""}",S24,DN MADE,Droit,Strasbourg
P1297,,BTS Biologie,BTS Biologie,BTS Biologie — programme complet (ancien libellé),,S23,BTS,Biologie,Lille
P1801,P1800,Licence Pro Commerce — IT,Licence Pro Commerce — IT,,"{""language"": ""IT"", ""school_id"": ""S31""}",S31,Licence Pro,Commerce,Nantes
P1039,P1038,Licence Pro Management Hôtelier — EN,Licence Pro Management Hôtelier — EN,,"{""language"": ""EN""}",S11,Licence Pro,Management Hôtelier,Toulouse
P1380,P1378,MSc Langues — en,MSc Langues — en,,"{""language"": ""en""}",S30,MSc,Langues,Rennes
P1301,P1300,MBA Architecture — en / Excellence,MBA Architecture — en / Excellence,,"{""language"": ""en"", ""track"": ""excellence""}",S11,MBA,Architecture,Toulouse
P1194,P1193,Master Langues — anglais / Alternance ,Master Langues — anglais / Alternance / Excellence,,"{""language"": ""anglais"", ""apprenticeship"": ""true"", ""track"": ""excellence""}",S11,Master,Langues,Toulouse
P1354,P1353,MBA Design — IT / Alternance,MBA Design — IT / Alternance,,"{""language"": ""IT"", ""apprenticeship"": ""oui"", ""school_id"": ""S22""}",S22,MBA,Design,Strasbourg
P102,P100,MBA — Red Team,MBA Management Hôtelier — Track Red Team,,"{""track"":""red team""}",S10,MBA,Hôtellerie,Bordeaux
P1351,P1349,Licence Data Science — Alternance / Re,Licence Data Science — Alternance / Recherche,,"{""apprenticeship"": 1, ""track"": ""recherche""}",S25,Licence,Data Science,Rennes
P1421,P1417,BUT Droit — anglais / Alternance,BUT Droit — anglais / Alternance,,"{""language"": ""anglais"", ""apprenticeship"": 1}",S35,BUT,Droit,Paris
P1311,P1309,BUT Génie Civil — es / Alternance,BUT Génie Civil — es / Alternance,,"{""language"": ""es"", ""apprenticeship"": true, ""school_id"": ""S29""}",S29,BUT,Génie Civil,Bordeaux
P1304,P1303,MSc Sciences Politiques — EN,MSc Sciences Politiques — EN,,"{""language"": ""EN""}",S20,MSc,Sciences Politiques,Strasbourg
P1842,P1840,BTS Design — anglais,BTS Design — anglais,,"{""language"": ""anglais""}",S30,BTS,Design,Rennes
P1395,,Master Communication,Master Communication,,,S19,Master,Communication,Lille
P1117,P1113,Diplôme d'ingénieur Ressources Humaine,Diplôme d'ingénieur Ressources Humaines — es,,"{""language"": ""es""}",S35,Diplôme d'ingénieur,Ressources Humaines,Paris
P1693,,MSc Cinéma,MSc Cinéma,,,S19,MSc,Cinéma,Lille
P1822,P1821,BUT Informatique — Red Team,BUT Informatique — Red Team,,"{""track"": ""red team""}",S26,BUT,Informatique,Lille
P1206,P1205,Master Architecture - IT,Master Architecture — IT ,,"{""language"": ""IT""}",S13,Master,Architecture,Paris
P1412,P1409,Bachelor Commerce — English / Cyber,Bachelor Commerce — English / Cyber,,"{""language"": ""English"", ""track"": ""cyber""}",S25,Bachelor,Commerce,Rennes
P1710,P1709,BTS Commerce — English,BTS Commerce — English,,"{""language"": ""English""}",S36,BTS,Commerce,Paris
P1030,,Diplôme d'ingénieur Droit,Diplôme d'ingénieur Droit,Diplôme d'ingénieur Droit — programme complet (ancien libellé),,S17,Diplôme d'ingénieur,Droit,Lyon
P1558,P1557,MSc Communication — es,MSc Communication — es,,"{""language"": ""es""}",S14,MSc,Communication,Strasbourg
P1134,,BTS Droit,BTS Droit,,,S18,BTS,Droit,Lyon
P1493,P1491,DN MADE Logistique — IT,DN MADE Logistique — IT,,"{""language"": ""IT""}",S31,DN MADE,Logistique,Nantes
P1296,P1294,Licence Pro Ressources Humaines — IT /,Licence Pro Ressources Humaines — IT / Double-Diplôme,,"{""language"": ""IT"", ""track"": ""double-diplôme""}",S26,Licence Pro,Ressources Humaines,Lille
P1501,,Licence Pro Économie,Licence Pro Économie,,,S24,Licence Pro,Économie,Strasbourg
P1458,P1457,BUT Cinéma — Alternance / Campus,BUT Cinéma — Alternance / Campus,,"{""apprenticeship"": true, ""school_id"": ""S27""}",S27,BUT,Cinéma,Grenoble
P1428,P1427,Bachelor Sciences Politiques — Recherc,Bachelor Sciences Politiques — Recherche,,"{""track"": ""recherche""}",S23,Bachelor,Sciences Politiques,Lille
P1640,P1638,BUT Commerce — English,BUT Commerce — English,,"{""language"": ""English""}",S20,BUT,Commerce,Strasbourg
P1718,P1714,Bachelor Génie Mécanique — Alternance,Bachelor Génie Mécanique — Alternance,,"{""apprenticeship"": ""oui""}",S30,Bachelor,Génie Mécanique,Rennes
P1221,P1219,BUT Commerce — en,BUT Commerce — en,,"{""language"": ""en""}",S25,BUT,Commerce,Rennes
P1323,,CPGE Marketing,CPGE Marketing,,,S29,CPGE,Marketing,Bordeaux
P1252,P1250,MBA Informatique — anglais / Alternanc,MBA Informatique — anglais / Alternance,,"{""language"": ""anglais"", ""apprenticeship"": ""true""}",S24,MBA,Informatique,Strasbourg
P1768,,Licence Ressources Humaines,Licence Ressources Humaines,,,S32,Licence,Ressources Humaines,Toulouse
P1398,P1395,Master Communication — en,Master Communication — en,,"{""language"": ""en""}",S19,Master,Communication,Lille
P1200,P1199,MSc Commerce — es,MSc Commerce — es,,"{""language"": ""es""}",S35,MSc,Commerce,Paris
P1771,,Diplôme d'ingénieur Économie,Diplôme d'ingénieur Économie,,,S31,Diplôme d'ingénieur,Économie,Nantes
P1199,,MSc Commerce,MSc Commerce,,,S35,MSc,Commerce,Paris
P1568,P1567,BTS Architecture — EN,BTS Architecture — EN,,"{""language"": ""EN""}",S21,BTS,Architecture,Lyon
P1378,,MSc Langues,MSc Langues,,,S30,MSc,Langues,Rennes
P1566,P1562,BTS Psychologie — Alternance / Data,BTS Psychologie — Alternance / Data,,"{""apprenticeship"": ""oui"", ""track"": ""data"", ""school_id"": ""S10""}",S10,BTS,Psychologie,Paris
P1104,P1103,DN MADE Sciences Politiques — Alternan,DN MADE Sciences Politiques — Alternance / International,,"{""apprenticeship"": ""true"", ""track"": ""international"", ""school_id"": ""S18""}",S18,DN MADE,Sciences Politiques,Lyon
P1350,P1349,Licence Data Science - Alternance / In,LICENCE DATA SCIENCE — ALTERNANCE / INTERNATIONAL,,"{""apprenticeship"": true, ""track"": ""international""}",S25,Licence,Data Science,Rennes
P1698,,DN MADE Chimie,DN MADE Chimie ,DN MADE Chimie — programme complet (ancien libellé),,S29,DN MADE,Chimie,Bordeaux
P1702,P1700,BTS Design — Campus,BTS Design — Campus,,"{""school_id"": ""S30""}",S30,BTS,Design,Rennes
P1670,P1668,Licence Design - IT,LICENCE DESIGN — IT,,"{""language"": ""IT""}",S19,Licence,Design,Lille
P1113,,Diplôme d'ingénieur Ressources Hum,Diplôme d'ingénieur Ressources Humaines,,,S35,Diplôme d'ingénieur,Ressources Humaines,Paris
P1618,,BUT Droit,BUT Droit,,,S17,BUT,Droit,Lyon
P1663,P1662,DN MADE Management Hôtelier — Data,DN MADE Management Hôtelier — Data,,"{""track"": ""data""}",S35,DN MADE,Management Hôtelier,Paris
P1056,,Licence Pro Design,Licence Pro Design,,,S18,Licence Pro,Design,Lyon
P1691,P1689,MSc Tourisme — English,MSc Tourisme — English,,"{""language"": ""English""}",S14,MSc,Tourisme,Strasbourg
P1238,P1237,Licence Pro Ressources Humaines — Engl,Licence Pro Ressources Humaines — English / Excellence,,"{""language"": ""English"", ""track"": ""excellence"", ""school_id"": ""S34""}",S34,Licence Pro,Ressources Humaines,Paris
P1637,P1636,CPGE Chimie - en / Red Team,CPGE Chimie — en / Red Team ,,"{""language"": ""en"", ""track"": ""red team""}",S30,CPGE,Chimie,Rennes
P1817,,Master Génie Civil,Master Génie Civil,,,S14,Master,Génie Civil,Strasbourg
P1059,,Bachelor Communication,Bachelor Communication,,,S34,Bachelor,Communication,Paris
P1130,P1129,CPGE Psychologie — Campus,CPGE Psychologie — Campus,,"{""school_id"": ""S21""}",S21,CPGE,Psychologie,Lyon
P1524,P1523,Licence Marketing - EN,Licence Marketing — EN ,,"{""language"": ""EN""}",S35,Licence,Marketing,Paris
P1084,,BUT Biologie,BUT Biologie,,,S26,BUT,Biologie,Lille
P1049,,MSc Finance,MSc Finance,,,S18,MSc,Finance,Lyon
P1495,P1494,CPGE Tourisme — en / Red Team,CPGE Tourisme — en / Red Team,,"{""language"": ""en"", ""track"": ""red team"", ""school_id"": ""S33""}",S33,CPGE,Tourisme,Lille
P1473,P1472,MSc Genie Mecanique - EN,MSC GÉNIE MÉCANIQUE — EN,,"{""language"": ""EN""}",S10,MSc,Génie Mécanique,Paris
P1709,,BTS Commerce,BTS Commerce,BTS Commerce — programme complet (ancien libellé),,S36,BTS,Commerce,Paris
P1521,P1518,Master Data Science - English / Red Te,MASTER DATA SCIENCE — ENGLISH / RED TEAM,,"{""language"": ""English"", ""track"": ""red team""}",S34,Master,Data Science,Paris
P1670,P1668,Licence Design — IT,Licence Design — IT,,"{""language"": ""IT""}",S19,Licence,Design,Lille
P1276,,Diplôme d'ingénieur Économie,Diplôme d'ingénieur Économie,,,S26,Diplôme d'ingénieur,Économie,Lille
P1258,,BTS Logistique,BTS Logistique,,,S25,BTS,Logistique,Rennes
P1417,,BUT Droit,BUT Droit,,,S35,BUT,Droit,Paris
P1458,P1457,BUT Cinema - Alternance / Campus,BUT Cinéma — Alternance / Campus ,,"{""apprenticeship"": true, ""school_id"": ""S27""}",S27,BUT,Cinéma,Grenoble
P1402,P1400,MSc Économie — International,MSc Économie — International,,"{""track"": ""international""}",S32,MSc,Économie,Toulouse
P1405,P1404,Licence Pro Langues — Campus,Licence Pro Langues — Campus,,"{""school_id"": ""S14""}",S14,Licence Pro,Langues,Strasbourg
P1698,,DN MADE Chimie,DN MADE Chimie,DN MADE Chimie — programme complet (ancien libellé),,S29,DN MADE,Chimie,Bordeaux
P1756,P1754,MSc Génie Civil — Campus,MSc Génie Civil — Campus,,"{""school_id"": ""S16""}",S16,MSc,Génie Civil,Grenoble
P1620,P1619,Licence Pro Architecture — EN / Altern,Licence Pro Architecture — EN / Alternance,,"{""language"": ""EN"", ""apprenticeship"": ""oui""}",S10,Licence Pro,Architecture,Paris
P1051,P1049,MSc Finance — Excellence,MSc Finance — Excellence,,"{""track"": ""excellence""}",S18,MSc,Finance,Lyon
P1078,P1077,MBA Commerce — en,MBA Commerce — en,,"{""language"": ""en""}",S31,MBA,Commerce,Nantes
P1819,P1817,Master Génie Civil — English,Master Génie Civil — English,,"{""language"": ""English""}",S14,Master,Génie Civil,Strasbourg
P1092,P1089,BUT Économie — es,BUT Économie — es,,"{""language"": ""es""}",S17,BUT,Économie,Lyon
P1774,P1771,Diplôme d'ingénieur Économie — en / Cy,Diplôme d'ingénieur Économie — en / Cyber,,"{""language"": ""en"", ""track"": ""cyber""}",S31,Diplôme d'ingénieur,Économie,Nantes
P1388,P1386,MBA Architecture — EN,MBA Architecture — EN,,"{""language"": ""EN""}",S15,MBA,Architecture,Paris
P1873,P1872,BTS Commerce - Red Team,BTS Commerce — Red Team ,,"{""track"": ""red team""}",S18,BTS,Commerce,Lyon
P1812,P1809,MSc Marketing — en / Alternance,MSc Marketing — en / Alternance,,"{""language"": ""en"", ""apprenticeship"": ""true""}",S23,MSc,Marketing,Lille
P1450,,Licence Pro Tourisme,Licence Pro Tourisme,,,S23,Licence Pro,Tourisme,Lille
P1527,P1526,Licence Pro Data Science — anglais,Licence Pro Data Science — anglais,,"{""language"": ""anglais""}",S20,Licence Pro,Data Science,Strasbourg
P1779,,CPGE Finance,CPGE Finance,,,S30,CPGE,Finance,Rennes
P1246,P1244,DN MADE Langues — es / Alternance,DN MADE Langues — es / Alternance,,"{""language"": ""es"", ""apprenticeship"": ""oui"", ""school_id"": ""S14""}",S14,DN MADE,Langues,Strasbourg
P1537,P1536,Licence Pro Génie Mécanique — Alternan,Licence Pro Génie Mécanique — Alternance,,"{""apprenticeship"": 1}",S16,Licence Pro,Génie Mécanique,Grenoble
P1887,P1886,Master Data Science — Alternance / Cam,Master Data Science — Alternance / Campus,,"{""apprenticeship"": ""oui"", ""school_id"": ""S16""}",S16,Master,Data Science,Grenoble
P1055,,Diplôme d'ingénieur Management Hôt,Diplôme d'ingénieur Management Hôtelier,,,S14,Diplôme d'ingénieur,Management Hôtelier,Strasbourg
P1673,P1672,MBA Design — EN / Red Team,MBA Design — EN / Red Team,,"{""language"": ""EN"", ""track"": ""red team"", ""school_id"": ""S24""}",S24,MBA,Design,Strasbourg
P1726,P1725,Licence Pro Commerce — Campus,Licence Pro Commerce — Campus,,"{""school_id"": ""S11""}",S11,Licence Pro,Commerce,Toulouse
P1101,P1098,MBA Chimie — International,MBA Chimie — International,,"{""track"": ""international"", ""school_id"": ""S20""}",S20,MBA,Chimie,Strasbourg
P1407,P1404,Licence Pro Langues — en,Licence Pro Langues — en,,"{""language"": ""en""}",S13,Licence Pro,Langues,Paris
P1741,P1740,DN MADE Management Hôtelier — Campus,DN MADE Management Hôtelier — Campus,,"{""school_id"": ""S36""}",S36,DN MADE,Management Hôtelier,Paris
P1730,P1729,Bachelor Informatique — IT / Data,Bachelor Informatique — IT / Data,,"{""language"": ""IT"", ""track"": ""data"", ""school_id"": ""S36""}",S36,Bachelor,Informatique,Paris
P1686,P1684,BUT Informatique — anglais,BUT Informatique — anglais,,"{""language"": ""anglais"", ""school_id"": ""S32""}",S32,BUT,Informatique,Toulouse
P1000,,MSc Genie Civil,MSC GÉNIE CIVIL,,,S29,MSc,Génie Civil,Bordeaux
P1814,,MSc Architecture,MSc Architecture,,,S24,MSc,Architecture,Strasbourg
P1758,P1757,Licence Management Hôtelier — Alternan,Licence Management Hôtelier — Alternance / Data,,"{""apprenticeship"": ""true"", ""track"": ""data""}",S22,Licence,Management Hôtelier,Strasbourg
P1248,P1244,DN MADE Langues — es,DN MADE Langues — es,,"{""language"": ""es""}",S23,DN MADE,Langues,Lille
P1364,,DN MADE Architecture,DN MADE Architecture,,,S18,DN MADE,Architecture,Lyon
P1378,,MSc Langues,MSc Langues,,,S30,MSc,Langues,Rennes
P1662,,DN MADE Management Hôtelier,DN MADE Management Hôtelier,,,S35,DN MADE,Management Hôtelier,Paris
P1291,P1289,MSc Informatique — Campus,MSc Informatique — Campus,,"{""school_id"": ""S19""}",S19,MSc,Informatique,Lille
P1789,P1787,Licence Pro Data Science — es,Licence Pro Data Science — es,,"{""language"": ""es""}",S23,Licence Pro,Data Science,Lille
P1210,,MSc Sciences Politiques,MSc Sciences Politiques,,,S30,MSc,Sciences Politiques,Rennes
P1790,P1787,Licence Pro Data Science — Alternance,Licence Pro Data Science — Alternance,,"{""apprenticeship"": 1}",S23,Licence Pro,Data Science,Lille
P1206,P1205,Master Architecture — IT,Master Architecture — IT,,"{""language"": ""IT""}",S13,Master,Architecture,Paris
P1277,P1276,Diplôme d'ingénieur Économie — EN / Al,Diplôme d'ingénieur Économie — EN / Alternance / Excellence,,"{""language"": ""EN"", ""apprenticeship"": ""true"", ""track"": ""excellence"", ""school_id"": ""S19""}",S19,Diplôme d'ingénieur,Économie,Lille
P1360,P1357,MSc Design - es / Recherche,MSc Design — es / Recherche ,,"{""language"": ""es"", ""track"": ""recherche""}",S16,MSc,Design,Grenoble
P1744,,CPGE Communication,CPGE Communication,,,S17,CPGE,Communication,Lyon
P1629,P1626,Licence Tourisme — anglais,Licence Tourisme — anglais,,"{""language"": ""anglais"", ""school_id"": ""S28""}",S28,Licence,Tourisme,Toulouse
P1250,,MBA Informatique,MBA Informatique,,,S24,MBA,Informatique,Strasbourg
P1475,P1472,MSc Génie Mécanique — Alternance / Rec,MSc Génie Mécanique — Alternance / Recherche,,"{""apprenticeship"": ""true"", ""track"": ""recherche""}",S10,MSc,Génie Mécanique,Paris
P1236,P1233,MBA Génie Civil — Alternance,MBA Génie Civil — Alternance,,"{""apprenticeship"": 1}",S31,MBA,Génie Civil,Nantes
P1864,P1863,Licence Pro Génie Mécanique — Internat,Licence Pro Génie Mécanique — International,,"{""track"": ""international""}",S35,Licence Pro,Génie Mécanique,Paris
P1888,,Licence Ressources Humaines,Licence Ressources Humaines,,,S21,Licence,Ressources Humaines,Lyon
P1872,,BTS Commerce,BTS Commerce,,,S18,BTS,Commerce,Lyon
P1154,,MSc Économie,MSc Économie,,,S32,MSc,Économie,Toulouse
P1700,,BTS Design,BTS Design,,,S16,BTS,Design,Grenoble
P1013,,DN MADE Génie Mécanique,DN MADE Génie Mécanique,,,S21,DN MADE,Génie Mécanique,Lyon
P1835,,CPGE Ressources Humaines,CPGE Ressources Humaines,,,S10,CPGE,Ressources Humaines,Paris
P1577,P1575,Diplôme d'ingénieur Économie — Alterna,Diplôme d'ingénieur Économie — Alternance / Campus,,"{""apprenticeship"": true, ""school_id"": ""S24""}",S24,Diplôme d'ingénieur,Économie,Strasbourg
P1506,P1505,Licence Pro Data Science — English,Licence Pro Data Science — English,,"{""language"": ""English""}",S21,Licence Pro,Data Science,Lyon
P1701,P1700,BTS Design — Cyber,BTS Design — Cyber,,"{""track"": ""cyber""}",S16,BTS,Design,Grenoble
P1115,P1113,Diplôme d'ingénieur Ressources Humaine,Diplôme d'ingénieur Ressources Humaines — IT / Recherche,,"{""language"": ""IT"", ""track"": ""recherche""}",S35,Diplôme d'ingénieur,Ressources Humaines,Paris
P1659,P1656,BTS Droit — Data,BTS Droit — Data,,"{""track"": ""data""}",S23,BTS,Droit,Lille
P1031,,MSc Commerce,MSc Commerce,,,S26,MSc,Commerce,Lille
P1087,P1084,BUT Biologie — IT,BUT Biologie — IT,,"{""language"": ""IT""}",S26,BUT,Biologie,Lille
P1875,,DN MADE Génie Civil,DN MADE Génie Civil,,,S21,DN MADE,Génie Civil,Lyon
P1244,,DN MADE Langues,DN MADE Langues,,,S23,DN MADE,Langues,Lille
P1567,,BTS Architecture,BTS Architecture,,,S21,BTS,Architecture,Lyon
P1583,,MSc Informatique,MSc Informatique,,,S34,MSc,Informatique,Paris
P1218,P1217,Diplôme d'ingénieur Informatique — Alt,Diplôme d'ingénieur Informatique — Alternance / Data,,"{""apprenticeship"": 1, ""track"": ""data""}",S14,Diplôme d'ingénieur,Informatique,Strasbourg
P1551,P1550,BTS Économie — en / Alternance,BTS Économie — en / Alternance,,"{""language"": ""en"", ""apprenticeship"": true}",S29,BTS,Économie,Bordeaux
P1033,P1031,MSc Commerce — IT / Red Team,MSc Commerce — IT / Red Team,,"{""language"": ""IT"", ""track"": ""red team""}",S26,MSc,Commerce,Lille
P1448,,Bachelor Sciences Politiques,BACHELOR SCIENCES POLITIQUES,,,S27,Bachelor,Sciences Politiques,Grenoble
P1346,,BUT Communication,BUT Communication,,,S17,BUT,Communication,Lyon
P1439,P1437,Licence Génie Civil — Recherche,Licence Génie Civil — Recherche,,"{""track"": ""recherche"", ""school_id"": ""S28""}",S28,Licence,Génie Civil,Toulouse
P1097,P1094,Diplôme d'ingénieur Psychologie — IT /,Diplôme d'ingénieur Psychologie — IT / Alternance,,"{""language"": ""IT"", ""apprenticeship"": ""true"", ""school_id"": ""S23""}",S23,Diplôme d'ingénieur,Psychologie,Lille
P1379,P1378,MSc Langues - es / Alternance / Double,MSc Langues — es / Alternance / Double-Diplôme ,,"{""language"": ""es"", ""apprenticeship"": 1, ""track"": ""double-diplôme""}",S30,MSc,Langues,Rennes
P1061,P1059,Bachelor Communication — Red Team,Bachelor Communication — Red Team,,"{""track"": ""red team""}",S34,Bachelor,Communication,Paris
P1169,P1166,Master Biologie — IT / Alternance,Master Biologie — IT / Alternance,,"{""language"": ""IT"", ""apprenticeship"": ""true""}",S36,Master,Biologie,Paris
P1738,P1737,MBA Langues - English,MBA Langues — English ,,"{""language"": ""English""}",S11,MBA,Langues,Toulouse
P1449,,Licence Pro Psychologie,Licence Pro Psychologie,,,S27,Licence Pro,Psychologie,Grenoble
P1026,P1025,Licence Pro Design - es,LICENCE PRO DESIGN — ES,,"{""language"": ""es"", ""school_id"": ""S27""}",S27,Licence Pro,Design,Grenoble
P1184,P1183,CPGE Chimie — anglais,CPGE Chimie — anglais,,"{""language"": ""anglais""}",S14,CPGE,Chimie,Strasbourg
P1610,,CPGE Génie Civil,CPGE Génie Civil,,,S28,CPGE,Génie Civil,Toulouse
P1299,P1297,BTS Biologie — en,BTS Biologie — en,,"{""language"": ""en""}",S23,BTS,Biologie,Lille
P1333,P1332,CPGE Langues — Campus,CPGE Langues — Campus,,"{""school_id"": ""S14""}",S14,CPGE,Langues,Strasbourg
P1870,P1869,Licence Tourisme — es,Licence Tourisme — es,,"{""language"": ""es""}",S35,Licence,Tourisme,Paris
P1413,,BTS Sciences Politiques,BTS Sciences Politiques,,,S22,BTS,Sciences Politiques,Strasbourg
P1429,P1427,Bachelor Sciences Politiques — Data,Bachelor Sciences Politiques — Data,,"{""track"": ""data""}",S23,Bachelor,Sciences Politiques,Lille
P1480,,Licence Architecture,Licence Architecture,,,S20,Licence,Architecture,Strasbourg
P1565,P1562,BTS Psychologie — EN / Alternance,BTS Psychologie — EN / Alternance,,"{""language"": ""EN"", ""apprenticeship"": true, ""school_id"": ""S29""}",S29,BTS,Psychologie,Bordeaux
P1074,P1072,Master Génie Civil — English,Master Génie Civil — English,,"{""language"": ""English""}",S30,Master,Génie Civil,Rennes
P1533,P1531,CPGE Design — IT,CPGE Design — IT,,"{""language"": ""IT""}",S28,CPGE,Design,Toulouse
P1431,P1427,Bachelor Sciences Politiques — es,Bachelor Sciences Politiques — es,,"{""language"": ""es""}",S23,Bachelor,Sciences Politiques,Lille
P1225,P1223,CPGE Langues — Campus,CPGE Langues — Campus,,"{""school_id"": ""S26""}",S26,CPGE,Langues,Lille
P1704,P1700,BTS Design — Alternance,BTS Design — Alternance,,"{""apprenticeship"": ""true""}",S16,BTS,Design,Grenoble
P1772,P1771,Diplôme d'ingénieur Économie — IT,Diplôme d'ingénieur Économie — IT,,"{""language"": ""IT"", ""school_id"": ""S14""}",S14,Diplôme d'ingénieur,Économie,Strasbourg
P1834,P1832,DN MADE Data Science — IT,DN MADE Data Science — IT,,"{""language"": ""IT""}",S22,DN MADE,Data Science,Strasbourg
P1348,P1346,BUT Communication — EN,BUT Communication — EN,,"{""language"": ""EN""}",S17,BUT,Communication,Lyon
P1591,,Licence Design,Licence Design,,,S34,Licence,Design,Paris
P1644,P1642,MBA Sciences Politiques — Alternance /,MBA Sciences Politiques — Alternance / Campus,,"{""apprenticeship"": true, ""school_id"": ""S31""}",S31,MBA,Sciences Politiques,Nantes
P1444,P1442,BTS Génie Civil — Cyber,BTS Génie Civil — Cyber,,"{""track"": ""cyber""}",S15,BTS,Génie Civil,Paris
P1365,P1364,DN MADE Architecture — Campus,DN MADE Architecture — Campus,,"{""school_id"": ""S30""}",S30,DN MADE,Architecture,Rennes
P1884,P1883,MSc Cinéma — en,MSc Cinéma — en,,"{""language"": ""en""}",S27,MSc,Cinéma,Grenoble
P1858,P1857,BTS Économie — Campus,BTS Économie — Campus,,"{""school_id"": ""S31""}",S31,BTS,Économie,Nantes
P1243,P1242,DN MADE Ressources Humaines — es / Alt,DN MADE Ressources Humaines — es / Alternance / Data,,"{""language"": ""es"", ""apprenticeship"": true, ""track"": ""data""}",S12,DN MADE,Ressources Humaines,Lille
P1171,P1170,MBA Tourisme - Alternance,MBA TOURISME — ALTERNANCE,,"{""apprenticeship"": 1}",S35,MBA,Tourisme,Paris
P1147,P1145,BUT Droit — IT,BUT Droit — IT,,"{""language"": ""IT""}",S15,BUT,Droit,Paris
P1232,,DN MADE Sciences Politiques,DN MADE SCIENCES POLITIQUES,,,S27,DN MADE,Sciences Politiques,Grenoble
P1089,,BUT Économie,BUT ÉCONOMIE,,,S17,BUT,Économie,Lyon
P1532,P1531,CPGE Design — en,CPGE Design — en,,"{""language"": ""en"", ""school_id"": ""S26""}",S26,CPGE,Design,Lille
P1781,P1779,CPGE Finance — EN / Excellence,CPGE Finance — EN / Excellence,,"{""language"": ""EN"", ""track"": ""excellence""}",S30,CPGE,Finance,Rennes
P1424,P1422,MSc Finance — es,MSc Finance — es,,"{""language"": ""es""}",S19,MSc,Finance,Lille
P1064,,MSc Marketing,MSc Marketing,,,S31,MSc,Marketing,Nantes
